iter	RMSE
0	6.118136803
1	5.730686505
2	5.399063068
3	5.113295003
4	4.86667993
5	4.656713132
6	4.478953476
7	4.328575286
8	4.200442162
9	4.092026577
10	3.999200513
11	3.923440392
12	3.856189658
13	3.798940873
14	3.753987053
15	3.713619416
16	3.682474677
17	3.654268519
18	3.628187674
19	3.610784992
20	3.592279612
21	3.579809494
22	3.568577148
23	3.55849511
24	3.550703499
25	3.540586524
26	3.531997158
27	3.524429921
28	3.519583661
29	3.511426873
30	3.502212245
31	3.495899114
32	3.490648897
33	3.484074161
34	3.479230748
35	3.47500864
36	3.470620695
37	3.466117943
38	3.463845017
39	3.461790335
40	3.458881873
41	3.455471021
42	3.453178935
43	3.45152202
44	3.449594282
45	3.448878024
46	3.446047299
47	3.443251752
48	3.442153463
49	3.439864452
50	3.438041101
51	3.436390189
52	3.43316333
53	3.432267948
54	3.428554522
55	3.425039787
56	3.423394151
57	3.419257935
58	3.417508894
59	3.415051273
60	3.413552428
61	3.412799264
62	3.412135176
63	3.40989452
64	3.408905463
65	3.405498872
66	3.403030391
67	3.401613016
68	3.399318656
69	3.398662681
70	3.397733961
71	3.396200201
72	3.393916161
73	3.390159634
74	3.389841053
75	3.388832666
76	3.384889431
77	3.382686577
78	3.378734211
79	3.375223945
80	3.375017842
81	3.372087145
82	3.370968357
83	3.370501548
84	3.368144892
85	3.366864971
86	3.363334367
87	3.362835893
88	3.360744834
89	3.359759717
90	3.358093123
91	3.355610028
92	3.352056489
93	3.35122809
94	3.349262623
95	3.348178451
96	3.348061344
97	3.347432701
98	3.345445043
99	3.343586304
