iter	Passed	Remaining
0	6	627
1	11	562
2	15	509
3	19	465
4	23	443
5	27	432
6	31	419
7	34	400
8	37	383
9	40	367
10	43	349
11	45	333
12	48	323
13	52	325
14	54	310
15	56	296
16	58	283
17	59	272
18	61	260
19	62	251
20	64	242
21	66	234
22	67	226
23	69	219
24	70	212
25	72	206
26	74	200
27	75	194
28	77	189
29	79	184
30	80	179
31	82	174
32	83	170
33	85	165
34	87	161
35	89	159
36	91	155
37	92	151
38	94	147
39	96	144
40	101	146
41	104	144
42	106	141
43	108	138
44	110	134
45	112	131
46	114	129
47	116	125
48	117	122
49	119	119
50	122	117
51	123	114
52	125	111
53	126	108
54	129	106
55	131	103
56	133	100
57	134	97
58	136	94
59	137	91
60	139	89
61	140	86
62	142	83
63	144	81
64	146	78
65	147	76
66	149	73
67	151	71
68	152	68
69	154	66
70	155	63
71	157	61
72	158	58
73	160	56
74	162	54
75	164	51
76	166	49
77	168	47
78	170	45
79	171	42
80	173	40
81	177	38
82	179	36
83	180	34
84	182	32
85	184	29
86	185	27
87	187	25
88	188	23
89	193	21
90	199	19
91	206	17
92	214	16
93	223	14
94	235	12
95	240	10
96	244	7
97	248	5
98	253	2
99	257	0
