iter	RMSE
0	3.761204178
1	3.722371247
2	3.691019472
3	3.66300716
4	3.638094333
5	3.617401759
6	3.596019839
7	3.58303931
8	3.567004121
9	3.553983607
10	3.545491978
11	3.536483002
12	3.527993131
13	3.521369172
14	3.514055557
15	3.509876637
16	3.504031273
17	3.498153331
18	3.494719404
19	3.489098334
20	3.484347053
21	3.480935388
22	3.476728853
23	3.472485975
24	3.468138264
25	3.464553847
26	3.45987486
27	3.455854598
28	3.451981189
29	3.449814488
30	3.446953217
31	3.444241126
32	3.44164139
33	3.437831355
34	3.434231873
35	3.432814642
36	3.430050032
37	3.427897489
38	3.425734598
39	3.423937132
40	3.422654311
41	3.419532004
42	3.416556784
43	3.414784538
44	3.413238491
45	3.411584389
46	3.409324501
47	3.407821192
48	3.406945767
49	3.405182285
50	3.402077792
51	3.399827531
52	3.399216351
53	3.397534141
54	3.395990267
55	3.394779372
56	3.393931287
57	3.392208953
58	3.390602187
59	3.387590411
60	3.385908263
61	3.383084046
62	3.382253547
63	3.379862654
64	3.379017851
65	3.377251162
66	3.376275621
67	3.375183976
68	3.373608478
69	3.372423425
70	3.369878017
71	3.368417336
72	3.365533317
73	3.363975533
74	3.363054138
75	3.360811413
76	3.359505972
77	3.357796172
78	3.355561711
79	3.354017109
80	3.353090517
81	3.351291116
82	3.349043073
83	3.346906856
84	3.345159258
85	3.342648989
86	3.34131852
87	3.339214035
88	3.337867291
89	3.33652631
90	3.334622668
91	3.332502456
92	3.330479279
93	3.330024905
94	3.328062303
95	3.326485091
96	3.324545289
97	3.321609159
98	3.321066062
99	3.320106202
