iter	Passed	Remaining
0	3	392
1	6	331
2	9	307
3	11	283
4	14	282
5	17	274
6	19	262
7	22	254
8	24	246
9	26	240
10	29	237
11	31	232
12	33	227
13	36	222
14	38	217
15	40	213
16	42	209
17	45	205
18	47	201
19	49	196
20	51	193
21	53	189
22	55	186
23	57	183
24	60	180
25	62	177
26	64	173
27	66	170
28	68	167
29	70	164
30	72	162
31	75	159
32	77	157
33	79	154
34	81	152
35	83	149
36	86	146
37	88	143
38	90	140
39	91	137
40	93	134
41	95	131
42	97	129
43	99	126
44	101	124
45	103	121
46	105	119
47	107	116
48	109	114
49	111	111
50	113	109
51	115	106
52	117	104
53	119	101
54	121	99
55	123	97
56	125	94
57	127	92
58	129	90
59	131	87
60	133	85
61	135	83
62	137	80
63	139	78
64	141	76
65	143	74
66	145	71
67	147	69
68	149	67
69	151	65
70	153	62
71	155	60
72	157	58
73	159	56
74	161	53
75	163	51
76	165	49
77	167	47
78	169	45
79	171	42
80	173	40
81	175	38
82	177	36
83	179	34
84	181	32
85	183	29
86	185	27
87	187	25
88	189	23
89	191	21
90	193	19
91	195	17
92	197	14
93	200	12
94	202	10
95	204	8
96	206	6
97	208	4
98	210	2
99	212	0
