dut_speed,dut_decel,dut_dist,foe_speed,foe_dist,envelope_id
7.0,7.9,21.0,36.0,80.0,100
30.0,4.0,41.0,41.0,89.0,100
18.0,6.300000000000001,61.0,47.0,98.0,100
41.0,8.600000000000001,81.0,14.0,8.0,100
13.0,4.7,5.0,19.0,17.0,100
35.0,7.1000000000000005,25.0,25.0,26.0,100
24.0,9.4,45.0,31.0,35.0,100
47.0,3.4,65.0,36.0,44.0,100
10.0,5.800000000000001,85.0,42.0,53.0,100
32.0,8.100000000000001,9.0,48.0,62.0,100
21.0,4.2,29.0,14.0,71.0,100
44.0,6.6,49.0,20.0,80.0,100
16.0,8.9,69.0,26.0,90.0,100
38.0,5.0,89.0,32.0,99.0,100
27.0,7.3,13.0,37.0,9.0,100
49.0,9.7,33.0,43.0,18.0,100
5.0,3.7,53.0,49.0,27.0,100
28.0,6.0,73.0,15.0,36.0,100
17.0,8.4,93.0,21.0,45.0,100
39.0,4.5,17.0,27.0,54.0,100
11.0,6.800000000000001,37.0,32.0,63.0,100
34.0,9.2,57.0,38.0,72.0,100
7.0,7.9,21.0,36.0,80.0,0
30.0,4.0,41.0,41.0,89.0,0
18.0,6.300000000000001,61.0,47.0,98.0,0
41.0,8.600000000000001,81.0,14.0,8.0,0
13.0,4.7,5.0,19.0,17.0,0
35.0,7.1000000000000005,25.0,25.0,26.0,0
24.0,9.4,45.0,31.0,35.0,0
47.0,3.4,65.0,36.0,44.0,0
10.0,5.800000000000001,85.0,42.0,53.0,0
32.0,8.100000000000001,9.0,48.0,62.0,0
21.0,4.2,29.0,14.0,71.0,0
44.0,6.6,49.0,20.0,80.0,0
16.0,8.9,69.0,26.0,90.0,0
38.0,5.0,89.0,32.0,99.0,0
27.0,7.3,13.0,37.0,9.0,0
49.0,9.7,33.0,43.0,18.0,0
5.0,3.7,53.0,49.0,27.0,0
28.0,6.0,73.0,15.0,36.0,0
17.0,8.4,93.0,21.0,45.0,0
39.0,4.5,17.0,27.0,54.0,0
11.0,6.800000000000001,37.0,32.0,63.0,0
34.0,9.2,57.0,38.0,72.0,0
33.0,9.2,57.0,40.0,75.0,0
34.0,9.3,60.0,41.0,74.0,0
34.0,9.3,58.0,41.0,75.0,0
34.0,9.3,59.0,41.0,75.0,0
33.0,9.3,60.0,40.0,71.0,0
33.0,9.100000000000001,57.0,39.0,71.0,0
33.0,9.2,59.0,40.0,70.0,0
33.0,9.100000000000001,58.0,40.0,71.0,0
32.0,8.9,56.0,40.0,72.0,0
34.0,9.100000000000001,56.0,39.0,74.0,0
33.0,9.0,55.0,39.0,74.0,0
33.0,8.9,55.0,39.0,73.0,0
33.0,8.7,55.0,39.0,70.0,0
32.0,8.9,55.0,41.0,72.0,0
32.0,8.7,55.0,40.0,70.0,0
33.0,8.7,55.0,40.0,70.0,0
33.0,9.0,51.0,40.0,73.0,0
34.0,9.0,55.0,38.0,75.0,0
33.0,8.9,58.0,39.0,75.0,0
34.0,9.0,57.0,38.0,75.0,0
32.0,8.5,53.0,39.0,69.0,0
32.0,8.7,55.0,41.0,70.0,0
32.0,8.5,54.0,40.0,69.0,0
32.0,8.5,53.0,39.0,69.0,0
32.0,8.4,48.0,38.0,67.0,0
33.0,8.5,52.0,37.0,70.0,0
33.0,8.5,55.0,38.0,71.0,0
33.0,8.5,54.0,37.0,71.0,0
33.0,8.4,57.0,37.0,73.0,0
34.0,8.5,54.0,36.0,71.0,0
33.0,8.4,55.0,36.0,72.0,0
33.0,8.4,56.0,37.0,73.0,0
34.0,8.2,58.0,36.0,75.0,0
32.0,8.4,57.0,38.0,74.0,0
33.0,8.3,58.0,37.0,75.0,0
32.0,8.3,58.0,38.0,75.0,0
