,dut_speed,dut_decel,dut_dist,foe_speed,foe_dist
0,47.0,9.5,24.0,44.0,78.0
1,14.0,4.8,25.0,46.0,71.0
2,44.0,6.2,92.0,41.0,94.0
3,48.0,4.3,19.0,12.0,99.0
4,6.0,7.6000000000000005,56.0,49.0,13.0
5,9.0,8.8,3.0,38.0,19.0
6,6.0,4.5,63.0,13.0,36.0
7,42.0,7.7,21.0,25.0,88.0
8,17.0,9.100000000000001,3.0,12.0,14.0
9,19.0,7.4,63.0,24.0,34.0
10,36.0,9.7,79.0,19.0,83.0
11,35.0,8.100000000000001,25.0,17.0,44.0
12,43.0,5.800000000000001,87.0,26.0,32.0
13,17.0,9.2,31.0,16.0,82.0
14,19.0,7.5,25.0,42.0,25.0
15,36.0,5.7,96.0,42.0,33.0
16,36.0,3.3,7.0,49.0,7.0
17,19.0,3.9,27.0,40.0,79.0
18,37.0,8.600000000000001,29.0,28.0,5.0
19,16.0,8.2,95.0,26.0,49.0
20,30.0,5.800000000000001,53.0,32.0,47.0
21,26.0,6.0,5.0,42.0,70.0
22,31.0,7.0,81.0,11.0,56.0
23,18.0,9.7,64.0,23.0,60.0
24,9.0,8.7,7.0,48.0,30.0
25,32.0,9.7,4.0,13.0,39.0
26,48.0,7.3,28.0,31.0,75.0
27,46.0,3.5,33.0,29.0,28.0
28,39.0,4.3,74.0,46.0,7.0
29,8.0,9.100000000000001,28.0,17.0,83.0
30,24.0,3.8,4.0,41.0,93.0
31,12.0,5.300000000000001,81.0,23.0,90.0
32,39.0,8.0,22.0,17.0,35.0
33,45.0,9.8,9.0,42.0,52.0
34,17.0,4.3,44.0,34.0,63.0
35,7.0,8.100000000000001,43.0,25.0,10.0
36,36.0,7.7,85.0,41.0,25.0
37,18.0,6.5,58.0,32.0,75.0
38,36.0,3.2,99.0,17.0,39.0
39,27.0,4.1,98.0,24.0,77.0
40,47.0,4.1,42.0,41.0,86.0
41,49.0,9.100000000000001,95.0,23.0,9.0
42,33.0,6.5,85.0,40.0,77.0
43,34.0,9.3,13.0,13.0,14.0
44,44.0,6.5,14.0,16.0,72.0
45,43.0,3.9,50.0,40.0,34.0
46,6.0,7.3,13.0,47.0,23.0
47,46.0,8.600000000000001,45.0,31.0,59.0
48,21.0,7.0,23.0,12.0,15.0
49,11.0,6.7,19.0,29.0,34.0
50,40.0,8.9,35.0,47.0,17.0
51,45.0,3.3,69.0,41.0,23.0
52,20.0,9.4,0.0,38.0,95.0
53,47.0,3.1,0.0,12.0,49.0
54,26.0,3.6,72.0,11.0,30.0
55,17.0,9.3,14.0,32.0,18.0
56,28.0,9.600000000000001,65.0,42.0,61.0
57,35.0,5.4,19.0,12.0,47.0
58,21.0,7.7,57.0,35.0,22.0
59,20.0,9.7,68.0,25.0,42.0
60,34.0,9.7,4.0,17.0,60.0
61,21.0,3.8,30.0,48.0,88.0
62,10.0,8.5,77.0,48.0,85.0
63,49.0,5.9,99.0,38.0,43.0
64,21.0,3.1,47.0,14.0,94.0
65,17.0,3.2,29.0,32.0,78.0
66,6.0,9.8,86.0,44.0,88.0
67,37.0,6.9,33.0,34.0,52.0
68,11.0,7.2,39.0,39.0,1.0
69,24.0,5.5,57.0,49.0,17.0
70,13.0,8.2,84.0,30.0,70.0
71,18.0,4.6,26.0,16.0,14.0
72,9.0,9.5,52.0,27.0,52.0
73,32.0,3.0,65.0,20.0,39.0
74,11.0,9.5,53.0,35.0,69.0
75,18.0,3.9,83.0,10.0,69.0
76,36.0,6.800000000000001,38.0,41.0,55.0
77,47.0,4.0,84.0,41.0,84.0
