dut_speed,dut_decel,dut_dist,foe_speed,foe_dist,envelope_id
15.0,3.6,4.0,22.0,12.0,0
13.0,3.5,2.0,21.0,8.0,0
13.0,3.5,0.0,22.0,5.0,0
15.0,3.6,6.0,22.0,10.0,0
13.0,3.5,2.0,21.0,7.0,0
16.0,3.7,4.0,22.0,7.0,0
13.0,3.5,2.0,21.0,6.0,0
13.0,3.4,0.0,22.0,7.0,0
15.0,3.9,4.0,22.0,9.0,0
13.0,3.6,2.0,21.0,7.0,0
13.0,3.4,1.0,22.0,6.0,0
14.0,3.4,0.0,22.0,6.0,0
14.0,3.8,3.0,22.0,11.0,0
15.0,3.6,2.0,24.0,8.0,0
15.0,3.8,3.0,23.0,11.0,0
15.0,3.8,3.0,23.0,11.0,0
14.0,3.8,7.0,22.0,14.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.8,0.0,21.0,9.0,0
15.0,4.0,5.0,22.0,13.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.7,2.0,21.0,10.0,0
13.0,3.6,1.0,22.0,9.0,0
14.0,3.8,7.0,22.0,14.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.8,0.0,21.0,9.0,0
14.0,4.1,4.0,22.0,14.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.6,2.0,21.0,9.0,0
14.0,3.6,2.0,22.0,8.0,0
13.0,4.0,5.0,23.0,13.0,0
13.0,3.8,3.0,21.0,11.0,0
14.0,3.6,1.0,21.0,9.0,0
14.0,3.6,0.0,21.0,9.0,0
15.0,4.0,6.0,22.0,13.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.7,1.0,21.0,10.0,0
13.0,3.7,0.0,22.0,9.0,0
14.0,4.1,5.0,22.0,12.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.6,2.0,21.0,10.0,0
14.0,3.5,1.0,22.0,10.0,0
14.0,4.0,6.0,22.0,13.0,0
13.0,3.8,3.0,21.0,11.0,0
14.0,3.6,1.0,21.0,9.0,0
14.0,3.6,0.0,22.0,9.0,0
15.0,4.0,3.0,22.0,13.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.7,2.0,22.0,10.0,0
13.0,3.6,2.0,22.0,10.0,0
15.0,3.7,7.0,22.0,11.0,0
13.0,3.8,3.0,21.0,11.0,0
14.0,4.0,6.0,22.0,11.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.6,0.0,21.0,11.0,0
15.0,4.0,6.0,22.0,12.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.7,1.0,22.0,10.0,0
13.0,3.7,2.0,21.0,11.0,0
15.0,3.8,4.0,22.0,16.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.8,2.0,21.0,8.0,0
13.0,3.8,2.0,22.0,7.0,0
14.0,3.9,6.0,22.0,15.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.7,1.0,21.0,9.0,0
13.0,3.7,2.0,21.0,10.0,0
16.0,3.9,5.0,21.0,13.0,0
13.0,3.8,3.0,21.0,11.0,0
12.0,3.7,2.0,22.0,10.0,0
12.0,3.7,1.0,22.0,9.0,0
13.0,4.0,4.0,23.0,13.0,0
13.0,3.8,3.0,21.0,11.0,0
14.0,3.6,2.0,21.0,9.0,0
15.0,3.6,2.0,21.0,9.0,0
