collision,dtc,envelope_id
1.0,0.0,0
0.0,4.451,0
0.0,5.201,0
0.0,6.685,0
0.0,6.06,0
0.0,5.31,0
0.0,6.588,0
0.0,2.174,0
0.0,4.892,0
0.0,6.112,0
0.0,5.561,0
0.0,2.015,0
0.0,1.894,0
0.0,3.992,0
1.0,0.0,0
1.0,0.0,0
0.0,5.878,0
0.0,2.663,0
1.0,0.0,0
1.0,0.0,0
0.0,2.663,0
0.0,2.164,0
0.0,2.096,0
0.0,5.878,0
0.0,2.663,0
1.0,0.0,0
1.0,0.0,0
0.0,2.663,0
0.0,2.694,0
0.0,3.742,0
0.0,6.571,0
0.0,2.663,0
1.0,0.0,0
0.0,2.59,0
0.0,3.088,0
0.0,2.663,0
1.0,0.0,0
1.0,0.0,0
0.0,4.635,0
0.0,2.663,0
0.0,2.156,0
1.0,0.0,0
0.0,5.977,0
0.0,2.663,0
1.0,0.0,0
0.0,1.59,0
0.0,2.451,0
0.0,2.663,0
0.0,3.339,0
0.0,3.321,0
0.0,6.69,0
0.0,2.663,0
0.0,6.977,0
0.0,2.663,0
0.0,2.757,0
0.0,4.809,0
0.0,2.663,0
0.0,1.747,0
1.0,0.0,0
0.0,4.396,0
0.0,2.663,0
0.0,4.596,0
0.0,6.18,0
0.0,2.292,0
0.0,2.663,0
0.0,0.979,0
0.0,2.164,0
0.0,2.396,0
0.0,2.663,0
0.0,5.255,0
0.0,3.885,0
0.0,4.87,0
0.0,2.663,0
1.0,0.0,0
0.0,1.59,0
0.0,4.112,0
0.0,2.663,0
0.0,2.017,0
1.0,0.0,0
0.0,2.59,0
0.0,2.663,0
0.0,5.334,0
0.0,5.767,0
0.0,2.274,0
0.0,2.663,0
0.0,0.983,0
0.0,2.172,0
0.0,5.929,0
0.0,2.663,0
1.0,0.0,0
0.0,6.023,0
0.0,2.663,0
0.0,0.923,0
1.0,0.0,0
1.0,0.0,0
0.0,2.663,0
1.0,0.0,0
0.0,1.752,0
0.0,4.396,0
0.0,2.663,0
0.0,4.55,0
0.0,6.133,0
0.0,6.154,0
0.0,2.663,0
1.0,0.0,0
1.0,0.0,0
0.0,4.21,0
0.0,2.663,0
0.0,0.979,0
0.0,2.164,0
0.0,12.713,0
0.0,2.663,0
0.0,6.809,0
0.0,2.663,0
0.0,2.757,0
0.0,4.451,0
0.0,2.663,0
0.0,2.719,0
0.0,5.8,0
0.0,5.972,0
0.0,2.663,0
1.0,0.0,0
1.0,0.0,0
0.0,6.111,0
0.0,2.663,0
0.0,1.729,0
1.0,0.0,0
0.0,1.488,0
0.0,1.898,0
0.0,2.108,0
0.0,1.761,0
0.0,4.624,0
0.0,3.923,0
